Clinic,Address,City,St,Zip,Website,Phone,Phone2
A Capital Women's Health Clinic,"1511 Starling Drive, Henrico",Richmond,VA,23229,http://capitalwomenshealth.com,(804) 754-1569,
A Preferred Women's Health Center-Charlotte,3220 Latrobe Dr.,Charlotte,NC,28211,http://apwhc.com,(888) 562-7415,
A Preferred Women's Health Center-Raleigh,1604 Jones Franklin Rd.,Raleigh,NC,27606,http://apwhc.com,(888) 562-7415,
"A Preferred Women's Health Center, Augusta",2903 Professional Pkwy.,Augusta,GA,30907,http://apwhc.com,(888) 562-7415,
"A Preferred Women's Health Center, Forest Park",519 Forest Parkway,Forest Park,GA,30297,http://apwhc.com,(888) 562-7415,
A Tidewater Women's Health Clinic,891 Norfolk Sq.,Norfolk,VA,23502,http://hyourchoice-va.com,(757) 461-0011,
A Woman's Choice of Charlotte,421 N. Wendover Road,Charlotte,NC,28211,https://www.awomanschoiceinc.com/awc-charlotte,(704) 367-2255,
A Woman's Choice of Greensboro,2425 Randleman Rd.,Greensboro,NC,27406,https://www.awomanschoiceinc.com/awc-greensboro,(844) 219-7668,
A Woman's Choice of Jacksonville,4131 University Blvd. South,Jacksonville,FL,32216,http://awomanschoiceinc.com,(904) 448-8877,(800) 298-8874
A Woman's Choice of Raleigh,3305 Drake Circle,Raleigh,NC,27607,https://www.awomanschoiceinc.com/awc-raleigh,(919) 781-6934,(800) 540-5690
A-All Women Care,7908 West Sahara Avenue,Las Vegas,NV,89117,http://lvgyn.com,(702) 531-5400,
A-Z Women's Center,1670 East Flamingo Rd.,Las Vegas,NV,89119,http://drramos.com,(702) 892-0660,
Acacia Women's Center,1615 E Osborn Road,Phoenix,AZ,85016,https://abortionclinicsarizona.com/,(602) 462-5559,
Access Health Center,1799 75th St.,Downers Grove,IL,60516,http://AccessHealthCenter.net,(630) 964-0000,(800) 244-0552 (IL)
Advantage Health Care,203 E. Irving Park Rd.,Wood Dale,IL,60191,http://AdvantageHealthCareLtd.com,(630) 595-1515,(888) 795-1515
Affiliated Women's Medical Services,1428 North Farwell Ave.,Milwaukee,WI,53202,http://affiliatedmedicalservices.com,(414) 278-0424,(800) 498-0424
Alabama Women's Center for Reproductive Alternatives,4831 Sparkman Drive NW,Huntstville,AL,35810,http://alabamawomensclinic.com/,(256) 536-2231,
Alamo Women's Reproductive Services,7402 John Smith Drive,San Antonio,TX,78229,https://www.alamowomensclinic.com/,(210) 614-4742,
"Alamosa (Planned Parenthood of the Rocky Mountains, Inc.)",1560 12th Street #7,Alamosa,CO,81101,http://pprm.org,(719) 589-4906,
Albany Health Center (Upper Hudson Planned Parenthood),855 Central Ave,Albany,NY,12206,https://uhpp.org,(518) 434-5678,
Alhambra Health Center (Planned Parenthood of Pasadena and the San Gabriel Valley),330 S Garfield Ave.,Los Angeles,CA,90041,https://pppsgv.org,(626) 798-0706,
All Families Health Care,737 Spokane Avenue,Whitefish,MT,59937,https://www.allfamilieshealth.org/,(406) 730-8682,
All Women's Care,9730 3rd Ave NE,Seattle,WA,98115,http://seattleabortion.com,(206) 985-9553,(888) 949-6636
"All Women's Health Center of Gainesville, Inc.",1135 NW 23rd Ave,Gainesville,FL,32609,http://floridaabortion.com,(352) 378-9191,(800) 869-0440
"All Women's Health Center of Jacksonville, Inc.",1545 Huffingham Road,Jacksonville,FL,32216,http://floridaabortion.com,(904) 731-2755,(800) 733-2755
All Women's Health Center of North Tampa,14498 University Cove Place,Tampa,FL,33613,http://floridaabortion.com,(813) 978-1919,(800) 733-7907
"All Women's Health Center of Orlando, Inc.",431 Maitland Ave,Altamonte Springs,FL,32701,https://floridaabortion.com,(407) 834-2262,(888) 257-2262
"All Women's Health Center of Sarasota, Inc.",2700 South Tamiami Trail,Sarasota,FL,34239,http://floridaabortion.com,(941) 366-7066,(800) 347-7066
"All Women's Health Center of St. Petersburg, Inc.",4131 Central Avenue,St. Petersburg,FL,33713,http://floridaabortion.com,(727) 327-3300,
"All Women's Health Center of Tampa, Inc.",3330 W. Kennedy Blvd.,Tampa,FL,33609,http://floridaabortion.com,(813) 874-0505,(800) 736-0505
"All Women's Health, PLLC",3711 Pacific Ave #200,Tacoma,WA,98418,http://allwomenshealthtacoma.com/,(253) 471-3464,(877) 471-3464
"All Women's Medical Office Based Surgery, PLLC, Forest Hills",120-34 Queens Blvd,Key Gardens,NY,11415,http://nyabortion.com,(718) 793-1943,(800) 223-3909
"All Women's Medical Office Based Surgery, PLLC, White Plains",222 Mamaroneck Ave.,White Plains,NY,10605,http://nyabortion.com,(914) 946-0050,(800) 223-3909
Allegheny Reproductive Health Center,5910 Kirkwood St,Pittsburgh,PA,15206,http://alleghenyreproductive.com,(412) 661-8811,(800) 221-3988 (regional)
Allentown Women's Center,31 S. Commerce Way,Bethlehem,PA,18017,http://allentownwomenscenter.com,(484) 821-0821,(877) DIAL-AWC
American Women's Medical Center  -  Des Plaines,110 South River Rd.,Plaines,IL,60016,http://americanwomensmedicalcenter.com,(847) 294-9614,
American Women's Medical Group  -  Chicago,2744 North Western Ave.,Chicago,IL,60647,http://americanwomensmedicalcenter.com,(773) 772-7727,(800) 722-2636
Ames Center (Planned Parenthood North Central States),2530 Chamberlain Street,Ames,IA,50014,https://ppncs.org,(877) 811-7526,
Annapolis Health Center (Planned Parenthood of Maryland),929 West Street,Annapolis,MD,21401,https://ppmaryland.org,(410) 576-1414,
Asheville Health Center (Planned Parenthood South Atlantic),68 Mcdowell St,Asheville,NC,28801,https://ppsat.org,(828) 252-7928,
Atlanta Comprehensive Wellness Clinic,"1874 Piedmont Ave, NE",Atlanta,GA,30324,http://acwcmidtownabortionclinic.com/,770-212-9660,
Atlanta Women's Medical Center,235 West Wieuca Rd.,Atlanta,GA,30342,http://atlantawomensmedicalcenter.com,(404) 257-0057,
Audre Rapoport Abortion Services Center (Planned Parenthood of Greater Texas Surgical Health Services),700 West Highway 6,Waco,TX,76712,https://ppgt.org,(254) 230-9864,
"Aurora (Planned Parenthood of the Rocky Mountains, Inc.)",1284 Abilene Street,Aurora,CO,80012,http://pprm.org,(303) 369-9682,
Austin Women's Health Center,1902 South IH 35,Austin,TX,78704,http://austinwomenshealth.com,(512) 443-2888,(800) 252-7016
Baldwin Park Health Center (Planned Parenthood of Pasadena and the San Gabriel Valley),4070 Sterling Way,Baldwin Park,CA,91706,https://pppsgv.org,(626) 798-0706,
Baltimore City Health Center (Planned Parenthood of Maryland),330 N. Howard Street,Baltimore,MD,21201,https://ppmaryland.org,(410) 576-1414,
Barre Health Center (Planned Parenthood of Northern New England),90 Washington Street,Barre,VT,05641,http://ppnne.org,(802) 476-6696,
Batavia Health Center (Planned Parenthood of Central and Western New York),222 W Main Street,Batavia,NY,14020,https://ppcwny.org,(585) 546-2595,(800) 230-7526
Beaverton Health Center (Planned Parenthood Columbia Willamette),12220 SW 1st St.,Beaverton,OR,97005,http://ppcw.org,(503)788-7273,(888) 875-7820
Bellingham Health Center (Mt. Baker Planned Parenthood),1509 Cornwall Avenue,Bellingham,WA,98225,http://mbpp.org,(360) 734-9007,
Bend Health Center (Planned Parenthood Columbia Willamette),2330 NE Division,Bend,OR,97701,http://ppcw.org,(503)788-7273,(888) 875-7820
Bennington Health Center (Planned Parenthood of Northern New England),194 North Street,Bennington,VT,05201,https://ppnne.org,(802) 442-8166,
Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,02215,http://bidmc.org,(617) 667-7493,
Birth Control Care Center,872 East Sahara Ave.,Las Vegas,NV,89104,http://birthcontrolcarecenter.com,(702) 733-7858,(800) 255-7889
Blue Mountain Clinic,610 N. California St,Missoula,MT,59802,http://bluemountainclinic.org,(406) 721-1646,(800) 727-2546
"Boca Raton Health Center (Planned Parenthood of South, East and North Florida, Inc.)",8177 Glades Road Bay 25,Boca Raton,FL,33434,https://ppsenfl.org,(561) 226-4116,
Boston Medical Center Ob/Gyn,85 East Concord St.,Boston,MA,02118,http://bmc.org,(617) 414-5593,
"Boulder (Planned Parenthood of the Rocky Mountains, Inc.)",2525 Arapahoe Avenue,Boulder,CO,80302,http://pprm.org,(303) 447-1040,
Boulder Abortion Clinic,1130 Alpine Avenue,Boulder,CO,80304,http://drhern.com,(303) 447-1361,(800) 535-1287
Boulder Valley Women's Health Center,2855 Valmont Road,Boulder,CO,80301,http://bvwhc.org,(303) 442-5160,
Bread & Roses,1560 S. Highland Ave.,Clearwater,FL,33756,http://tampabayabortionclinics.com,(727) 446-2690,
Bread & Roses Women's Health Center – Gainesville Woman Care,1233 NW 10th Ave.,Gainesville,FL,32601,http://breadroses.com,(352) 372-1664,
"Brigham & Women's Hospital, Family Planning Clinic",1620 Tremont Street,Boston,MA,02120,https://www.brighamandwomens.org/obgyn/family-planning/family-planning-division,(617) 732-4090,
Brooklyn Park Health Center (Planned Parenthood North Central States),7532 Brooklyn Blvd.,Brooklyn Park,MN,55443,https://ppncs.org,(763) 560-3050,
Buffalo Health Center (Planned Parenthood of Central and Western New York),2697 Main Street.,Buffalo,NY,14214,https://ppcwny.org,(716) 205-0704,(800) 230-7526
Burlington Health Center (Planned Parenthood of Northern New England),183 St. Paul Street,Burlington,VT,05401,http://ppnne.org,(802) 863-6326,
"Camden Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",317 Broadway,Camden,NJ,08103,https://ppncsnj.org,(856) 365-3519,
Camelback Family Planning,4141 N 32nd Street,Phoenix,AZ,85018,http://camelbackfamilyplanning.com,(602) 279-2337,
Canandaigua Health Center (Planned Parenthood of Central and Western New York),15 LaFayette Avenue,Canandaigua,NY,14424,https://ppcwny.org,(585) 546-2595,(800) 230-7526
Canton Health Center (Planned Parenthood of the North Country New York),9 Miner Street,Canton,NY,13617,https://ppncny.org,(315) 386-8821,
Capital Care of Toledo,1160 W Sylvania Ave,Toledo,OH,43612,http://capitalcarenetwork.com/,(419) 478-6801,
carafem  -  Atlanta,1800 Peachtree St NW,Atlanta,GA,30309,https://carafem.org/location/carafem-health-center-atlanta/,(877) 708-2423,
carafem  -  Chicago Metro,4711 Golf Road,Skokie,IL,60076,https://carafem.org/location/carafem-health-center-chicago/,(855) 729-2272,
carafem  -  DC Metro,5530 Wisconsin Ave,Chevy Chase,MD,20815,https://carafem.org/location/carafem-health-center-washington-dc/,(877) 721-2596,
carafem-Nashville Metro,5002 Crossings Circle,Mt. Juliet,TN,37122,https://carafem.org/location/carafem-health-center-nashville/,(877) 708-2423,
CARE- Clinics for Abortion and Reproductive Excellence  -  Bellevue,1002 West Mission Ave.,Bellevue,NE,68005,https://abortionclinics.org/bellevue-nebraska/,(402) 291-4797,
CARE- Clinics for Abortion and Reproductive Excellence  -  Bethesda,10401 Old Georgetown Road,Bethesda,MD,20814,http://abortionclinics.org/,(888) 684-3599,
"Carol Whitehill Moses Center (Planned Parenthood of Metropolitan Washington, DC)",1225 4th St NE,Washington,DC,20002,https://ppmetrodc.org,(202) 347-8500,
Cedar Falls Center (Planned Parenthood North Central States),2520 Melrose Dr.,Cedar Falls,IA,50613,https://ppncs.org,(877) 811-7526,
Cedar River – Seattle,509 Olive Way,Seattle,WA,98101,http://cedarriverclinics.org,(206) 957-0990,(866) 632-6622
Cedar River Clinics – Renton,263 Rainier Ave S.,Renton,WA,98057,http://cedarriverclinics.org,(425) 255-0471,
Cedar River Clinics – Tacoma,1401-A Martin Luther King Jr. Way.,Tacoma,WA,98405,http://cedarriverclinics.org,(253) 473-6031,(800) 572-4223
Cedars Sinai Family Planning Services Clinic,444 S. San Vicente Avenue,Los Angeles,CA,90048,http://www.cedars-sinai.edu/,(310) 423-9268,
Center for Women's Health-Overland Park,4840 College Blvd.,Overland Park,KS,66211,http://hodesnauser.com,(913) 491-6878," MO)"""
Central Massachusetts Health Center (Planned Parenthood League of Massachusetts),470 Pleasant Street,Worcester,MA,01609,https://pplm.org,(800) 258-4448,
Chapel Hill Health Center (Planned Parenthood South Atlantic),1765 Dobbins Drive,Chapel Hill,NC,27514,https://ppsat.org,(919) 942-7762,
Charleston Health Center (Planned Parenthood South Atlantic),1312 Ashley River Rd.,Charleston,SC,29407,https://ppsat.org,(843) 628-4380,
Charlottesville Health Center (Planned Parenthood South Atlantic),2964 Hydraulic Dr.,Charlottesville,VA,22901,https://ppsat.org,434-296-1000,
Cherry Hill Women's Center,502 Kings Hwy. North,Cherry Hill,NJ,08034,http://cherryhillwomenscenter.com,(856) 667-5910,(800) 877-6331
Choices,1726 Poplar Avenue,Memphis,TN,38104,http://mcrh-tn.org,(901) 274-3550,
Choices Women's Medical Center,147-32 Jamaica Avenue,Jamaica,NY,11435,http://choicesmedical.com,(718) 786-5000,
Choix,,,,,https://www.mychoix.co/,(858) 203-0531,
Christiana Care Health Services,4735 Ogletown Stanton Road,Newark,DE,19713,https://christianacare.org/,(302) 623-4175,
Clinic for Women,7005 Normandy Way,Indianapolis,IN,46278,http://clinic4women.net,(317) 955-2641,(800) 545-2400 (IN)
"Colorado Springs (Planned Parenthood of the Rocky Mountains, Inc.)",3480 Centennial Blvd.,Colorado Springs,CO,80907,http://pprm.org,(719) 475-7162,
Columbia Health Center (Planned Parenthood South Atlantic),2712 Middleburg Dr.,Columbia,SC,29204,https://ppsat.org,(803) 256-4908,
Columbia Presbyterian Family Planning and Preventive Services,622 W 168th St,New York,NY,10032,,(212) 305-4805,
Columbus Women's Health,3850 Rosemont Drive,Columbus,GA,31904,https://www.columbuswomenshealthcare.com/,(706) 323-8363,
Comprehensive Women's Health Center,130 Rampart Way Suite 150,Denver,CO,80230,http://cwhccolorado.com,(720) 810-5442,
Council Bluffs Health Center (Planned Parenthood North Central States),1604 Second Ave,Council Bluffs,IA,51501,https://ppncs.org,(877) 811-7526,
Delaware County Women's Center,1 Medical Center Blvd.,Upland,PA,19013,http://delawarecountywomenscenter.com/,(610) 874-4361,
"Delran Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",8008 Route 130N,Delran,NJ,08075,https://ppncsnj.org,(609) 788-3195,
Delta Clinic for Women,756 Colonial Dr,Baton Rouge,LA,70737,,(225) 923-3242,
"Denver (Planned Parenthood of the Rocky Mountains, Inc.)",7155 E. 38th Avenue,Denver,CO,80207,http://pprm.org,(303) 321-2458,
Desert Star Family Planning,1526 W Glendale Avenue,Phoenix,AZ,85021,http://desertstarfp.com,(480) 447-8857,
Dover Center (Planned Parenthood of Delaware),805 S Governors Avenue,Dover,DE,19904,http://ppde.org,(302) 678-5200,
DuPont Clinic,1120 19th Street NW,Washington,DC,20036,https://dupontclinic.com,(202) 844-2004,
"Durango (Planned Parenthood of the Rocky Mountains, Inc.)",46 Suttle Drive,Durango,CO,81303,http://pprm.org,(970) 259-4205, CO
Early Options,124 East 40th Street,New York,NY,10016,http://earlyoptions.com,(212) 431-8533,
East Orlando Health Center (Planned Parenthood of Southwest and Central Florida),11500 University Blvd,Orlando,FL,32817,https://ppswcf.org/,(407) 246-1788,
Eastland Women's Clinic,15921 East 8 Mile Rd.,Eastpointe,MI,48021,http://eastlandwomensclinic.com/,(586) 774-4190,
Easton Health Center (Planned Parenthood of Maryland),8579 Commerce Drive,Easton,MD,21601,https://ppmaryland.org,(410) 576-1414,
El Paso Abortion Services Center (Planned Parenthood of Greater Texas Surgical Health Services),1511 E. Missouri Avenue,El Paso,TX,79902,https://ppgt.org,(915) 626-5192,
"Elizabeth Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",1171 Elizabeth Avenue,Elizabeth,NJ,07201,https://ppncsnj.org,(908) 351-5384,
Emma Goldman Clinic for Women,227 North Dubuque St,Iowa City,IA,52245,http://emmagoldman.com,(319) 337-2111,
EMW Women's Surgical Center,136 W. Market St.,Louisville,KY,40202,http://emwwomens.com,(502) 589-2124,(800) 292-2189 (KY)
"Englewood Health Center  (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",46 N Van Brunt Street,Englewood,NJ,07631,https://ppncsnj.org,(201) 894-0966,
Equality Health Center,38 South Main St.,Concord,NH,03301,http://feministhealth.org,(603) 225-2739,
Eve Medical of Miami,8603 S. Dixie Hwy,Miami,FL,33143,http://eveabortioncarespecialists.com,(305) 668-5629,
Fairview Heights Health Center (Planned Parenthood of the St. Louis Region and Southwest Missouri),317 Salem Place,Fairview Heights,IL,62208,https://ppslr.org,(618) 277-6668,
Falls Church Healthcare Center,900 S. Washington St,Falls Church,VA,22046,http://fallschurchhealthcare.com,(703) 532-2500,(800) 228-3561
Family Planning Associates Medical Group,659 West Washington Blvd,Chicago,IL,60661,http://fpachicago.com,(312) 707-8988,(800) 586-3764
Family Planning Associates Medical Group of Phoenix,1331 N. 7th Street,Phoenix,AZ,85006,http://www.fpamg.com,(602) 553-0440,
Family Planning Services at Rush,1645 W Jackson Blvd,Chicago,IL,60612,https://www.rush.edu/services/family-planning-services,(312) 942-2298,
Family Reproductive Health,700 E. Hebron St,Charlotte,NC,28273,http://familyreproductive.com,(704) 551-0808,(800) 952-9034
Fayetteville Health Center (Planned Parenthood South Atlantic),4551 Yadkin Rd.,Fayetteville,NC,28303,https://ppsat.org,(866) 942-7762,
Femi-Care Surgery Center,66 Painters MIll Road,Owings Mills,MD,21117,http://femicaresurgerycenter.com,(443) 394-0520,(800) 355-0523
Feminist Women's Health Center,1924 Cliff Valley Way NE,Atlanta,GA,30329,http://feministcenter.org,(404) 728-7900,(800) 877-6013
"Flemington Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",349 Rt 31 South Building B,Flemington,NJ,08822,https://ppncsnj.org,(908) 782-7727,
"Fort Collins (Planned Parenthood of the Rocky Mountains, Inc.)",825 South Shields Street,Fort Collins,CO,80521,http://pprm.org,(970) 493-0281,
Fort Myers Health Center (Planned Parenthood of Southwest and Central Florida),6418 Commerce Park Drive,Fort Myers,FL,33966,https://ppswcf.org/,(239) 481-9999,
Four Women Health Services,150 Emory St,Attleboro,MA,02703,http://fourwomen.com,(508) 222-7555,
"FPA Women's Health, Bakersfield",2500 H Street,Bakersfield,CA,93301-2818,https://www.fpawomenshealth.com/,(661) 633-5266,
"FPA Women's Health, Canoga Park",7023 Owensmouth Avenue,Canoga Park,CA,91303-2006,https://www.fpawomenshealth.com/,(818) 444-9870,
"FPA Women's Health, Downey",8635 Firestone Boulevard Suite 100,Downey,CA,90241-5242,https://www.fpawomenshealth.com/,(562) 862-5121,
"FPA Women's Health, East Los Angeles",4922 Whittier Blvd,East Los Angeles,CA,90022-1111,https://www.fpawomenshealth.com/,(323) 201-9343,
"FPA Women's Health, El Cajon",1625 E. Main St. Suite 202,El Cajon,CA,92021-5245,https://www.fpawomenshealth.com/,(858) 547-7100,
"FPA Women's Health, Fresno",165 N Clark Street,Fresno,CA,93701-2108,https://www.fpawomenshealth.com/,(559) 233-8657,
"FPA Women's Health, Glendale",372 Arden Ave Suite 200,Glendale,CA,91203-4002,https://www.fpawomenshealth.com/,(818) 502-1341,
"FPA Women's Health, Inglewood",301 N Prairie Ave Suite 611,Inglewood,CA,90301-4513,https://www.fpawomenshealth.com/,(323) 987-8879,
"FPA Women's Health, Lancaster",43845 W 10th St Suite 1E,Lancaster,CA,93534-4800,https://www.fpawomenshealth.com/,(661) 371-2629,
"FPA Women's Health, Long Beach",2777 Long Beach Blvd Suite 200,Long Beach,CA,90806-1513,https://www.fpawomenshealth.com/,(562) 595-5653,
"FPA Women's Health, Los Angeles",601 S Westmoreland Ave,Los Angeles,CA,90005-3999,https://www.fpawomenshealth.com/,(213) 738-7283,
"FPA Women's Health, Mission Hills",10200 Sepulveda Blvd Suite 200,Mission Hills,CA,91345-2657,https://www.fpawomenshealth.com/,(818) 893-6949,
"FPA Women's Health, Modesto",2030 Coffee Road Suite A 1,Modesto,CA,95355-2498,https://www.fpawomenshealth.com/,(209) 578-0443,
"FPA Women's Health, Oakland",400 29th Street Suite 301,Oakland,CA,94609-3522,https://www.fpawomenshealth.com/,(510) 899-7099,
"FPA Women's Health, Oxnard",1700 Lombard Street Suite 110,Oxnard,CA,93030-8211,https://www.fpawomenshealth.com/,(805) 822-5879,
"FPA Women's Health, Pomona",1996 Indian Hill Blvd,Pomona,CA,91767-3620,https://www.fpawomenshealth.com/,(909) 626-2463,
"FPA Women's Health, Riverside",3660 Park Sierra Drive Suite 202,Riverside,CA,92505-3071,https://www.fpawomenshealth.com/,(951) 637-2100,
"FPA Women's Health, Sacramento",2322 Butano Dr. Suite 205,Sacramento,CA,95825-0629,https://www.fpawomenshealth.com/,(916) 483-2885,
"FPA Women's Health, San Bernardino",855 E Hospitality Ln,San Bernardino,CA,92408-3596,https://www.fpawomenshealth.com/,(909) 885-0282,
"FPA Women's Health, San Jose",2100 Forest Ave Suite 108,San Jose,CA,95128-1422,https://www.fpawomenshealth.com/,(408) 240-2614,
"FPA Women's Health, Santa Ana",1901 N Tustin Ave,Santa Ana,CA,92705-7817,https://www.fpawomenshealth.com/,(657) 859-5463,
"FPA Women's Health, Santa Monica",12304 Santa Monica Blvd Suite 116,Los Angeles,CA,90025-2586,https://www.fpawomenshealth.com/,(310) 820-8084,
"FPA Women's Health, Temecula",41715 Winchester Road Suite 204,Temecula,CA,92590-4854,https://www.fpawomenshealth.com/,(951) 695-5471,
"FPA Women's Health, Torrance",24241 Hawthorne Blvd. Suite 201,Torrance,CA,90505-1928,https://www.fpawomenshealth.com/,(310) 373-1042,
"FPA Women's Health, West Covina",501 S. Vincent Ave. Suite 205,West Covina,CA,91790-3964,https://www.fpawomenshealth.com/,(626) 572-8800,
Frederick Health Center (Planned Parenthood of Maryland),170 Thomas Johnson Dr Suite 100,Frederick,MD,21702,https://ppmaryland.org,(410) 576-1414,
"Freehold Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",800 W Main Street,Freehold,NJ,07728,https://ppncsnj.org,(732) 431-1717,
Ft. Myers Women's Health Center,3900 Broadway Bldg. C,Ft. Myers,FL,33901,http://floridaabortion.com,(239) 936-4494,(800) 733-4494
"Gaithersburg Center (Planned Parenthood of Metropolitan Washington, DC)",19650 Clubhouse Rd #104,Gaithersburg,MD,20877,https://ppmetrodc.org,(301) 208-1300,
Glendora Health Center (Planned Parenthood of Pasadena and the San Gabriel Valley),130 W Route 66,Glendora,CA,91740,https://pppsgv.org,(626) 798-0706,
"Glenwood Springs (Planned Parenthood of the Rocky Mountains, Inc.)",50923 Highway 6,Glenwood Springs,CO,81601,http://pprm.org,(970) 945-8631,
"Golden Glades Miami Health Center (Planned Parenthood of South, East and North Florida, Inc.)",585 NW 161 St,Miami,FL,33169,https://ppsenfl.org,(305) 830-4111,
Greater Boston Health Center (Planned Parenthood League of Massachusetts),1055 Commonwealth Avenue,Boston,MA,02215,https://pplm.org,(800) 258-4448,
Greece Health Center (Planned Parenthood of Central and Western New York),2824 W Ridge Road,Rochester,NY,14626,https://ppcwny.org,(585) 546-2595,
"Greely (Planned Parenthood of the Rocky Mountains, Inc.)",3487-B W 10th St,Greely,CO,80634,http://pprm.org,(970) 352-4790,
"Gynecology & More, Inc.",1933 West 60th St.,Hialeah,FL,33012,,(305) 824-1788,
Gynemed Surgi-Center,17 Fontana Lane,Baltimore,MD,21237,http://gynemed.org,(410) 391-1000,
"Hackensack Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",575 Main Street,Hackensack,NJ,07601,https://ppncsnj.org,(201) 489-1140,
Hagerstown Reproductive Health Services,160 West Washington St.,Hagerstown,MD,21740,http://potomacfamilyplanning.com,(301) 733-2400, WV
Hallmark Women's Clinic-Fayetteville,1919 Gillespie Street,Fayetteville,NC,28306,http://ahallmarkwomensclinic.com,(910) 323-3792,(800) 682-8677
Hallmark Women's Clinic-Winston Salem,491 N Cleveland Ave.,Winston-Salem,NC,27101,http://ahallmarkwomensclinic.com/,(336) 725-4924,
"Hamilton Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",2279 State Highway 33,Hamilton Square,NJ,08690,https://ppncsnj.org,(609) 599-4881,
Hamilton Health Center (Planned Parenthood Southwest Ohio Region),11 Ludlow St,Hamilton,OH,45011,https://ppswo.org,(513) 856-8332,
Hartford GYN Center,One Main St.,Harford,CT,06106,http://hartfordgyncenter.com,(860) 525-1900,
Health Quarters  -  Beverly,100 Cummings Center,Beverly,MA,01915,https://healthq.org/contact/beverly-ma.html,(978) 705-4039,
Health Quarters  -  Haverhill,215 Summer St.,Haverhill,MA,01830,https://healthq.org/contact/haverhill-ma.html,(978) 228-2291,
Health Quarters  -  Lawrence,280 Merrimack Street,Lawrence,MA,01843,https://healthq.org/contact/lawrence-ma.html,(978) 705-6637,
"Healthy Futures, P.C.",300 E Hampden Ave Suite 201,Englewood,CO,80113,http://healthyfuturesforwomen.com,(303) 991-7700,(866) 254-8823
Heritage Clinic for Women,320 East Fulton St,Grand Rapids,MI,49503,http://heritageclinic.com,(616) 458-3694,(800) 345-1393
Highland Park Health Center (Planned Parenthood of Pasadena and the San Gabriel Valley),5903 N Figueroa St,Los Angeles,CA,90042,https://pppsgv.org,(626) 798-0706,
Hillcrest Clinic of Baltimore,5602 Baltimore National Pike,Baltimore,MD,21228,http://hillcrestclinic.com,(410) 788-4400,
Hillcrest Women's Medical Center,5602 Baltimore National Pike,Catonsville,MD,21228,https://potomacfamilyplanning.com,(717) 234-4994,(800) 245-2040
Hillman East Portland Center (Planned Parenthood Columbia Willamette),14601 SE Division Street,Portland,OR,97236,https://ppcw.org,(888) 875-7820,
